Huvudrubrik,Avsnitt,KVÅ-kod,Titel/Kodtext,Beskrivningstext
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA011,Bedömning av emotionella funktioner,"Bedömning av specifika psykiska funktioner som hänför sig till känslo- och affektkomponenterna i tankeprocesserna. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b152"
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA012,Bedömning av perceptuella funktioner,"Bedömning av psykiska funktioner som att känna igen och tolka sinnestimuli. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b156"
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA013,Bedömning av tankefunktioner,"Bedömning av tanketempo, organisation i tankeprocessen, målinriktat och logiskt tänkande. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b160"
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA014,Bedömning av högre kognitiva funktioner,"Bedömning av psykiska funktioner som beslutsfattande, abstrakt tänkande, planering och utförande av planer, mental flexibilitet och att fatta beslut om vilket beteende som är påkallat under vilka omständigheter, ofta benämnda exekutiva funktioner. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b164"
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA015,Bedömning av psykiska språkfunktioner,"Bedömning av att mottaga/förstå språk och uttrycka sig språkligt i tal, skrift och/eller tecken. Innefattar bedömning vid afasi. Innefattar även insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b167"
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA016,Bedömning av kalkyleringsfunktioner,"Bedömning av att räkna enkla och sammansatta tal. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b172"
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA017,Bedömning av psykisk funktion att ordna sammansatta rörelser i följd,"Bedömning av att organisera och samordna målinriktade rörelser i följd. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b176"
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,PA018,Bedömning av medvetenhet om jaget och om tid,"Bedömning av specifika psykiska funktioner som rör medvetenheten om egen identitet, egen kropp och egen plats i den omgivande verkligheten samt om tiden. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b180"
Utredning/Bedömning/Uppföljning,Utredning av psykiska funktioner,AU118,Strukturerad suicidriskbedömning,"Strukturerad bedömning av risken för att patienten ska utföra självmordshandling. I åtgärden ingår systematisk inhämtning av relevanta anamnestiska data, bedömning av psykiskt status och en, med beaktande av anamnesuppgifter, statusfynd samt kända risk- och skyddsfaktorer, gjord värdering av risken för självmordshandling. I åtgärden ingår även dokumentation av en strukturerad formulering av bedömarens värdering av risken"
Utredning/Bedömning/Uppföljning,Utredning av sinnesfunktioner och smärta,PB002,Hörselundersökning,"Bedömning av sinnesfunktioner avseende att förnimma närvaro av ljud och att urskilja lokalisering, tonhöjd, ljudstyrka och ljudkvalitet. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b230"
Utredning/Bedömning/Uppföljning,Utredning av sinnesfunktioner och smärta,PB003,Bedömning av balansfunktion,"Bedömning av att bibehålla balans och undvika risk att falla. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b235"
Utredning/Bedömning/Uppföljning,Utredning av sinnesfunktioner och smärta,PB004,Bedömning av förnimmelser i samband med hörsel och vestibulär funktion,"Bedömning av individens förnimmelse av öronsus (tinnitus), yrsel, känsla av att falla, irritation i örat, örontryck, illamående i samband med yrsel eller svindel. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b240"
Utredning/Bedömning/Uppföljning,Utredning av sinnesfunktioner och smärta,PB005,Bedömning av smakfunktion,"Bedömning av sinnesfunktioner avseende att uppfatta beskt, sött, salt, surt. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b250"
Utredning/Bedömning/Uppföljning,Utredning av sinnesfunktioner och smärta,PB006,Bedömning av luktfunktion,"Bedömning av sinnesfunktioner avseende att uppfatta lukter och dofter. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b255"
Utredning/Bedömning/Uppföljning,Utredning av sinnesfunktioner och smärta,PB007,Bedömning av proprioceptiv funktion ,"Bedömning av att förnimma kroppsdelars inbördes läge och relation till varandra samt ledkänsel. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b260"
Utredning/Bedömning/Uppföljning,Utredning av sinnesfunktioner och smärta,PB008,Bedömning av beröringsfunktion och temperatur,"Bedömning av att känna ytlig beröring, värme och kyla, vibration, tryck, form och material. Innefattar bedömning av känslighet för ett obehagligt eller skadligt sinnesintryck som köldintolerans. Innefattar även insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b265, b270"
Utredning/Bedömning/Uppföljning,Utredning av sinnesfunktioner och smärta,PB009,Bedömning av smärta,"Bedömning av individens smärtupplevelse, risk för utveckling av långvarig smärta/besvär. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b280"
Utredning/Bedömning/Uppföljning,Utredning av sinnesfunktioner och smärta,PB010,Bedömning av förnimmelser förenade med ögat och angränsande strukturer samt funktioner hos strukturer intill ögat,"Bedömning av funktioner hos strukturer i och runt ögat som underlättar synfunktioner samt förnimmelser av trötthet, torrhet, klåda och liknande förnimmelser i ögat. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b215, b220"
Utredning/Bedömning/Uppföljning,Utredning av röst och talfunktioner,PC001,Utredning av röst och talfunktioner ,"Insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation gällande röst och talfunktioner. ICF b310 - b399"
Utredning/Bedömning/Uppföljning,"Utredning av hjärt-kärlfunktioner, blodbildnings- och immunsystemsfunktioner och andningsfunktioner",PD001,Pulsmätning,Manuell mätning av hjärtfrekvens och rytm. ICF b410
Utredning/Bedömning/Uppföljning,"Utredning av hjärt-kärlfunktioner, blodbildnings- och immunsystemsfunktioner och andningsfunktioner",PD003,Bedömning av blodkärlsfunktioner,"Undersökning av perifer cirkulation, arteriellt och/eller venöst blodflöde. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b415"
Utredning/Bedömning/Uppföljning,"Utredning av hjärt-kärlfunktioner, blodbildnings- och immunsystemsfunktioner och andningsfunktioner",PD005,Bedömning av ortostatism,"Bedömning av ortostatiska besvär vid t.ex. lägesändringar. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b420"
Utredning/Bedömning/Uppföljning,"Utredning av hjärt-kärlfunktioner, blodbildnings- och immunsystemsfunktioner och andningsfunktioner",PD006,Ödemmätning,"Undersökning och mätning av svullnad med måttband, andra apparater eller genom palpation. ICF b415"
Utredning/Bedömning/Uppföljning,"Utredning av hjärt-kärlfunktioner, blodbildnings- och immunsystemsfunktioner och andningsfunktioner",PD007,Bedömning av andningsfunktioner,"Bedömning av rörlighet, andningsdjup, andningsmuskelfunktion och andningsmönster samt hur andningen integreras i kroppsmedvetandet och aktiviteter i det dagliga livet. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b440, b445"
Utredning/Bedömning/Uppföljning,"Utredning av hjärt-kärlfunktioner, blodbildnings- och immunsystemsfunktioner och andningsfunktioner",PD008,Bedömning av hostfunktion ,"Bedömning av hostfunktion och sekretmobiliserande tekniker och av inhalationsteknik. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b450"
Utredning/Bedömning/Uppföljning,"Utredning av hjärt-kärlfunktioner, blodbildnings- och immunsystemsfunktioner och andningsfunktioner",PD009,Bedömning av tolerans för fysisk ansträngning och uthållighet,"Bedömning av kondition, uthållighet och tolerans för fysiskt arbete. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b455"
Utredning/Bedömning/Uppföljning,"Utredning av hjärt-kärlfunktioner, blodbildnings- och immunsystemsfunktioner och andningsfunktioner",PD010,Bedömning av förnimmelser i samband med hjärt-kärlfunktioner och andningsfunktioner,"Bedömning av förnimmelser som t.ex. att hjärtat hoppar över ett slag, hjärtklappning och otillräcklig andning. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b460"
Utredning/Bedömning/Uppföljning,"Utredning av hjärt-kärlfunktioner, blodbildnings- och immunsystemsfunktioner och andningsfunktioner",AF015,Blodtrycksmätning standard,-
Utredning/Bedömning/Uppföljning,"Utredning av hjärt-kärlfunktioner, blodbildnings- och immunsystemsfunktioner och andningsfunktioner",AG031,Perkutan oxymetri,Noninvasiv mätning av arteriell syrgasmättnad. POX
Utredning/Bedömning/Uppföljning,"Utredning av hjärt-kärlfunktioner, blodbildnings- och immunsystemsfunktioner och andningsfunktioner",AP032,Dopplerundersökning av enstaka perifera kärl,"Avser undersökning av flöde i enstaka artärer, AV-fistlar m.m. Kombineras ofta med blodtrycksmätning t.ex. i ankeln. Utföres oftast med penndoppler"
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,PE002,Bedömning av sväljfunktion,"Bedömning av att förflytta mat och dryck genom munhåla, svalg och matstrupe till magsäcken med lämplig frekvens och hastighet. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b510"
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,PE003,Bedömning av matsmältningsfunktioner,"Bedömning av funktioner för transport av föda genom matsmältningskanalen och nedbrytning av föda och absorption av näringsämnen. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b515"
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,PE005,Bedömning av avföringsfunktioner,"Bedömning av viljemässig kontroll över elimineringsfunktionen. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b525"
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,PE006,Bedömning av viktuppehållande funktioner,"Bedömning av funktioner att hålla lämplig kroppsvikt, innefattande viktökning under utvecklingsperioden. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b530"
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,PE007,Bedömning av besvär relaterat till matsmältning ,"Bedömning av förnimmelser som uppstår genom att äta, dricka eller därmed relaterade matsmältningsfunktioner. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b535"
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,PE008,Bedömning av ämnesomsättningsfunktioner,"Bedömning av funktioner för reglering av kroppens grundläggande komponenter som kolhydrater, proteiner och fett, deras omvandling från det ena till det andra, och deras nedbrytning till energi. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b540"
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,PE009,Bedömning av vätskebalans,"Bedömning av funktioner för reglering av vatten, mineraler och elektrolyter i kroppen. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b545"
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,PE010,Bedömning av värmereglerande funktioner ,"Bedömning av funktioner för reglering av kroppstemperatur, temperaturmätning ingår. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b550"
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,PE012,Bedömning av endokrina funktioner,"Bedömning av funktioner av endokrina system som påverkar alla organ och celler i kroppen samt produktion och reglering av hormonnivåer som syftar till att upprätthålla balans och livsfunktioner. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b555"
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,PE015,Bedömning av näringsintag,"Bedömning av näringsintag av ett eller flera näringsämnen i relation till bedömt behov, genom insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation ICF b510"
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,PE016,Bedömning av näringsbehov,"Bedömning av behov av ett eller flera näringsämnen, genom insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b530"
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,PE017,Bedömning av risk för undernäring,"Sammanvägd bedömning av risk för undernäring baserat på insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. Separata KVÅ-koder kan användas för att ange de specifika åtgärderna som ingår i riskbedömningen. ICF b510"
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,AE004,Klinisk undersökning av munhåla och tänder,-
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,AV080,"Kostregistrering, vägd","Kostregistrering av vägd mat, en eller flera dagar"
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,AV092,"Kostregistrering, ej vägd","Kostregistrering av ej vägd mat, en eller flera dagar"
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,AV084,Längdmätning (kroppslängd),-
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,AV090,"Näringsvärdesberäkning, förenklad",Översiktlig näringsvärdesberäkning utifrån förtryckt formulär med lathund för energiberäkning
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,AV091,"Näringsvärdesberäkning, komplett",Näringsvärdesberäkning med samtliga makronutrienter samt relevant antal mikronutrienter beräknat enligt Livsmedelsverkets livsmedels- och näringsvärdesdatabas
Utredning/Bedömning/Uppföljning,Utredning av matsmältnings- och ämnesomsättningsfunktioner och endokrina funktioner,AV112,Viktmätning,-
Utredning/Bedömning/Uppföljning,Utredning av funktioner i köns- och urinorganen samt reproduktiva funktioner,PF001,Bedömning av urinutsöndringsfunktioner,"Bedömning av funktioner för urinens filtrering och uppsamling. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b610"
Utredning/Bedömning/Uppföljning,Utredning av funktioner i köns- och urinorganen samt reproduktiva funktioner,PF002,Bedömning av urineringsfunktioner,"Bedömning av bäckenbottenmuskulatur, urineringsfrekvens och mängd samt frekvens och mängd vid läckage. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation samt miktionsanamnes, miktionsobservation/flödes- och resurinobservation (MKO/FRO), under halv- eller heldag. ICF b620"
Utredning/Bedömning/Uppföljning,Utredning av funktioner i köns- och urinorganen samt reproduktiva funktioner,PF003,Bedömning av sexuella funktioner,"Bedömning av psykiska och fysiska funktioner avseende sexualakten. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b640"
Utredning/Bedömning/Uppföljning,Utredning av funktioner i köns- och urinorganen samt reproduktiva funktioner,PF004,Bedömning av menstruationsfunktioner,"Bedömning av funktioner avseende menstruationscykeln och tömning av menstruationsvätska. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b650"
Utredning/Bedömning/Uppföljning,Utredning av funktioner i köns- och urinorganen samt reproduktiva funktioner,PF006,Bedömning av förnimmelser förenade med urinfunktioner,"Bedömning av förnimmelser såsom brännande känsla vid urinering och trängningskänsla av urineringsnöd. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b630"
Utredning/Bedömning/Uppföljning,Utredning av funktioner i köns- och urinorganen samt reproduktiva funktioner,PF007,Bedömning av förnimmelser i samband med genitala och reproduktiva funktioner,"Bedömning av förnimmelser i samband med samlag, menstruation och relaterade genitala eller reproduktiva funktioner såsom smärta och obehag vid samlag, smärtsamma menstruationer, heta vallningar under menopaus, nattsvettningar under menopaus, förnimmelser förknippade med självstimulering av könsorgan. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b670"
Utredning/Bedömning/Uppföljning,Utredning av funktioner i köns- och urinorganen samt reproduktiva funktioner,PF008,Bedömning av risk för blåsdysfunktion,"Sammanvägd bedömning av risk för blåsdysfunktion baserat på insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. Separata KVÅ-koder kan användas för att ange de specifika åtgärderna som ingår i riskbedömningen. ICF b620"
Utredning/Bedömning/Uppföljning,Utredning av funktioner i köns- och urinorganen samt reproduktiva funktioner,AK047,"Ultraljudsundersökning, residualurinbestämning",Förenklad ultraljudsundersökning av urinblåsan för bestämning av residualurin. Blåsscanning
Utredning/Bedömning/Uppföljning,Utredning av funktioner i köns- och urinorganen samt reproduktiva funktioner,AV072,Dygnsmätning av dryckes- och urinvolymer,Information före mätning. Mätningen utförs i hemmet. Eventuellt vägning av blöjor. Sammanställning av resultat. För diuresmonitorering avseende bedömning av vätskebehandling och vitala funktioner se SS901 Timdiuresmonitorering och SS902 Monitorering av urinproduktion UNS
Utredning/Bedömning/Uppföljning,Utredning av neuromuskuloskeletala och rörelserelaterade funktioner,PG001,Bedömning av ledrörlighet ,"Bedömning av ledrörlighet genom aktiva och passiva rörelser samt manuella metoder. ICF b710, b720"
Utredning/Bedömning/Uppföljning,Utredning av neuromuskuloskeletala och rörelserelaterade funktioner,PG002,Bedömning av ledstabilitet ,Bedömning av ledstabilitet genom aktiva och passiva rörelser samt manuella metoder. ICF b715
Utredning/Bedömning/Uppföljning,Utredning av neuromuskuloskeletala och rörelserelaterade funktioner,PG003,Bedömning av muskelfunktion,"Bedömning av muskelstyrka, uthållighet, muskellängd, muskeltonus med manuella metoder eller apparater inkl. tendinittest. ICF b730, b735, b740"
Utredning/Bedömning/Uppföljning,Utredning av neuromuskuloskeletala och rörelserelaterade funktioner,PG004,Bedömning av reflexer,"Bedömning av funktioner för icke viljemässig sammandragning av muskler som utlöses automatiskt genom specifika stimuli. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b750"
Utredning/Bedömning/Uppföljning,Utredning av neuromuskuloskeletala och rörelserelaterade funktioner,PG005,Bedömning av icke viljemässiga rörelsereaktioner,"Bedömning av posturala reaktioner såsom upprätnings-, jämvikts-, balans- och skyddsreaktioner. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b755"
Utredning/Bedömning/Uppföljning,Utredning av neuromuskuloskeletala och rörelserelaterade funktioner,PG006,Bedömning av viljemässig rörelsekontroll,"Bedömning av koordination, balans mellan agonister och antagonister, huvudkontroll, balans, öga-handkoordination, koncentration. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b760"
Utredning/Bedömning/Uppföljning,Utredning av neuromuskuloskeletala och rörelserelaterade funktioner,PG007,Bedömning av gångmönster ,"Bedömning av gångmönster och löpning eller andra rörelser med hela kroppen. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b770"
Utredning/Bedömning/Uppföljning,Utredning av neuromuskuloskeletala och rörelserelaterade funktioner,PG008,Bedömning av förnimmelser vad avser muskler och rörelsefunktioner,"Bedömning av förnimmelser som hänger samman med kroppens muskler och muskelgrupper och deras rörelser såsom muskelstelhet och muskelstramhet, muskelspasm eller sammandragning av muskler samt tyngdkänsla i musklerna. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b780"
Utredning/Bedömning/Uppföljning,Utredning av funktioner i huden och därmed relaterade strukturer,PH001,Bedömning av huden,"Bedömning av hudens beskaffenhet. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b810"
Utredning/Bedömning/Uppföljning,Utredning av funktioner i huden och därmed relaterade strukturer,PH002,Bedömning av risk för trycksår,"Riskbedömning för trycksår. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b810"
Utredning/Bedömning/Uppföljning,Utredning av funktioner i huden och därmed relaterade strukturer,PH003,Bedömning av hudens läkande funktion,"Bedömning av sårläkning, riskbedömning av abnorm ärrbildning ingår. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b820"
Utredning/Bedömning/Uppföljning,Utredning av funktioner i huden och därmed relaterade strukturer,PH004,Bedömning av förnimmelser som hänger samman med huden,"Bedömning av förnimmelser som hänger samman med huden såsom klåda, brännande känsla och krypningar. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF b840"
Utredning/Bedömning/Uppföljning,Utredning av funktioner i huden och därmed relaterade strukturer,PH005,Enkel fotundersökning,"Inspektion av foten, undersökning för att finna felställningar, test av känseln, palpation av pulsar. Utesluter: Fotvård, se QH005"
Utredning/Bedömning/Uppföljning,Utredning av funktioner i huden och därmed relaterade strukturer,AV008,Bilddokumentation UNS,"Bilddokumentation av patientens yttre. T.ex. hudförändringar, sår och andra skador"
Utredning/Bedömning/Uppföljning,Utredande åtgärder som kan förekomma till flera områden gällande kroppsfunktioner,AD013,"Klinisk undersökning av öron, näsa och hals",-
Utredning/Bedömning/Uppföljning,Utredande åtgärder som kan förekomma till flera områden gällande kroppsfunktioner,AV034,Provtagning UNS ,-
Utredning/Bedömning/Uppföljning,Utredande åtgärder som kan förekomma till flera områden gällande kroppsfunktioner,SP010 ,Punktion av perifer ven för blodprovstagning ,-
Utredning/Bedömning/Uppföljning,Utredning av lärande och tillämpning av kunskap,PJ001,Bedömning av målinriktad användning av sinnesupplevelser,"Bedömning av målinriktad användning av sinnesupplevelser för att uppfatta visuella, auditiva stimuli samt stimuli som att känna, smaka, lukta. Innefattar insamling och analys av information från exempelvis standardiserade bedömningsinstrument, skattningsskalor, intervju och/eller observation. ICF d110 - d120"
